Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dpz91tp2,43.797,-79.37725,43.79717,-79.37691,43.79712,-79.377,Toronto,,Ontario,Canada,CA-ON,0.4012,0.0833,48,0.0,0.4894,0.1277,0.0426,0.0426,0.2977,2019-01-04,2.0
dpz9hjp0,43.797,-79.26773,43.79717,-79.26739,43.79702,-79.26742,Toronto,,Ontario,Canada,CA-ON,0.2075,0.069,29,0.0345,0.0,0.3793,0.0,0.4828,0.1034,2019-01-04,2.0
dpz2mb51,43.63787,-79.54788,43.63804,-79.54754,43.63798,-79.54768,Toronto,,Ontario,Canada,CA-ON,0.3089,0.2,190,0.0105,0.2632,0.1842,0.0526,0.3316,0.1579,2019-01-04,2.0
dpz8625c,43.63787,-79.3491,43.63804,-79.34875,43.638,-79.34882,Toronto,,Ontario,Canada,CA-ON,0.4286,0.1452,248,0.004,0.3036,0.3887,0.0283,0.1619,0.1135,2019-01-04,2.0
dpz2q04c,43.63787,-79.53724,43.63804,-79.5369,43.63793,-79.53718,Toronto,,Ontario,Canada,CA-ON,0.3463,0.1523,1425,0.0612,0.2505,0.1964,0.0242,0.1125,0.3552,2019-01-04,2.0
dpz828h3,43.63787,-79.42532,43.63804,-79.42497,43.63801,-79.42514,Toronto,,Ontario,Canada,CA-ON,0.5231,0.0417,24,0.0,0.4583,0.25,0.125,0.0417,0.125,2019-01-04,2.0
dpz2q8hc,43.63787,-79.51252,43.63804,-79.51218,43.63794,-79.51237,Toronto,,Ontario,Canada,CA-ON,0.5201,0.2007,284,0.0141,0.2756,0.2933,0.0212,0.2473,0.1485,2019-01-04,2.0
dpz83203,43.63787,-79.39785,43.63804,-79.39751,43.63795,-79.39766,Toronto,,Ontario,Canada,CA-ON,0.5078,0.0133,58904,0.0348,0.1695,0.2509,0.0806,0.1642,0.3,2019-01-04,2.0
dpz83249,43.63787,-79.39476,43.63804,-79.39442,43.63798,-79.39459,Toronto,,Ontario,Canada,CA-ON,0.2921,0.0225,5203,0.039,0.2033,0.1952,0.0618,0.0853,0.4154,2019-01-04,2.0
dpz2xup2,43.70361,-79.45415,43.70378,-79.45381,43.70373,-79.45386,Toronto,,Ontario,Canada,CA-ON,1.046,0.0833,12,0.0,0.3333,0.0,0.0,0.5833,0.0834,2019-01-04,2.0
dpz88unb,43.70361,-79.4109,43.70378,-79.41055,43.70374,-79.41076,Toronto,,Ontario,Canada,CA-ON,0.4013,0.0871,241,0.0462,0.1765,0.1723,0.0504,0.0882,0.4664,2019-01-04,2.0
dpz88kj8,43.70361,-79.43459,43.70378,-79.43424,43.70371,-79.43447,Toronto,,Ontario,Canada,CA-ON,0.3067,0.2941,2693,0.0213,0.1667,0.2582,0.1114,0.0792,0.3632,2019-01-04,2.0
dpz8dk02,43.70361,-79.3539,43.70378,-79.35356,43.7037,-79.35363,Toronto,,Ontario,Canada,CA-ON,1.2832,0.2095,105,0.0,0.4952,0.0667,0.2286,0.1048,0.1047,2019-01-04,2.0
dpz8du58,43.70361,-79.32747,43.70378,-79.32713,43.70366,-79.32728,Toronto,,Ontario,Canada,CA-ON,0.8921,0.1277,188,0.0054,0.227,0.2,0.1622,0.1946,0.2108,2019-01-04,2.0
dpz2xu18,43.70361,-79.46205,43.70378,-79.46171,43.70375,-79.46193,Toronto,,Ontario,Canada,CA-ON,0.6789,0.0464,1142,0.0105,0.2063,0.2458,0.0597,0.1738,0.3039,2019-01-04,2.0
dpz8sh0b,43.70361,-79.27631,43.70378,-79.27597,43.7037,-79.27621,Toronto,,Ontario,Canada,CA-ON,0.8385,0.3611,180,0.0056,0.1222,0.0778,0.0,0.6111,0.1833,2019-01-04,2.0
dpz8du40,43.70361,-79.32953,43.70378,-79.32919,43.70377,-79.3294,Toronto,,Ontario,Canada,CA-ON,0.4734,0.1923,26,0.0,0.48,0.16,0.08,0.12,0.16,2019-01-04,2.0
dpz2xup0,43.70361,-79.4545,43.70378,-79.45415,43.70366,-79.45437,Toronto,,Ontario,Canada,CA-ON,0.4104,0.1413,92,0.0,0.3913,0.0109,0.0,0.3478,0.25,2019-01-04,2.0
dpz88sn0,43.70361,-79.42291,43.70378,-79.42257,43.70371,-79.42266,Toronto,,Ontario,Canada,CA-ON,0.587,0.2572,657,0.0291,0.2355,0.1713,0.0719,0.0398,0.4524,2019-01-04,2.0
dpz2tsj0,43.70361,-79.55612,43.70378,-79.55578,43.70369,-79.55584,Toronto,,Ontario,Canada,CA-ON,0.1917,0.0429,70,0.0,0.2286,0.0571,0.0143,0.5571,0.1429,2019-01-04,2.0
dpz2wu50,43.70361,-79.50394,43.70378,-79.50359,43.70369,-79.50389,Toronto,,Ontario,Canada,CA-ON,0.4085,0.0167,5977,0.034,0.1607,0.2226,0.0404,0.1169,0.4254,2019-01-04,2.0
dpz2z1tw,43.73486,-79.48952,43.73503,-79.48917,43.73488,-79.48933,Toronto,,Ontario,Canada,CA-ON,0.6277,0.1707,82,0.0244,0.2805,0.122,0.0244,0.2073,0.3414,2019-01-04,2.0
dpz8f3wy,43.73486,-79.34498,43.73503,-79.34464,43.73494,-79.34468,Toronto,,Ontario,Canada,CA-ON,0.35,0.1417,374,0.0268,0.3592,0.0965,0.1019,0.126,0.2896,2019-01-04,2.0
dpz2v98y,43.73486,-79.56196,43.73503,-79.56161,43.73494,-79.56163,Toronto,,Ontario,Canada,CA-ON,0.5123,0.3158,57,0.0,0.614,0.1754,0.0351,0.0877,0.0878,2019-01-04,2.0
dpz8u1wn,43.73486,-79.2691,43.73503,-79.26876,43.73494,-79.26901,Toronto,,Ontario,Canada,CA-ON,0.8751,0.0173,4572,0.0274,0.1653,0.2902,0.0577,0.2097,0.2497,2019-01-04,2.0
dpz8u3tq,43.73486,-79.25915,43.73503,-79.2588,43.73493,-79.25896,Toronto,,Ontario,Canada,CA-ON,0.3309,0.1608,255,0.0118,0.1417,0.2087,0.0236,0.248,0.3662,2019-01-04,2.0
dpz8b99y,43.73486,-79.42875,43.73503,-79.42841,43.73497,-79.42853,Toronto,,Ontario,Canada,CA-ON,0.8034,0.1524,361,0.0222,0.3019,0.2659,0.036,0.1108,0.2632,2019-01-04,2.0
dpz8b3ty,43.73486,-79.43424,43.73503,-79.4339,43.73487,-79.43409,Toronto,,Ontario,Canada,CA-ON,0.6886,0.1905,21,0.0,0.1905,0.0476,0.0,0.1905,0.5714,2019-01-04,2.0
dpz2v1tq,43.73486,-79.57775,43.73503,-79.57741,43.735,-79.57769,Toronto,,Ontario,Canada,CA-ON,0.325,0.1705,88,0.0,0.1529,0.1412,0.0,0.1647,0.5412,2019-01-04,2.0
dpz2z3wy,43.73486,-79.47681,43.73503,-79.47647,43.73489,-79.47653,Toronto,,Ontario,Canada,CA-ON,0.6498,0.0674,89,0.0112,0.2921,0.4157,0.0112,0.0562,0.2136,2019-01-04,2.0
dpz8u9xw,43.73486,-79.24507,43.73503,-79.24473,43.73502,-79.24505,Toronto,,Ontario,Canada,CA-ON,0.7241,0.0118,85,0.0122,0.8537,0.0976,0.0,0.0,0.0365,2019-01-04,2.0
dpz8b38w,43.73486,-79.44145,43.73503,-79.44111,43.73496,-79.44133,Toronto,,Ontario,Canada,CA-ON,0.4794,0.2258,155,0.013,0.2013,0.2338,0.0065,0.1299,0.4155,2019-01-04,2.0
dpz2m8dq,43.64147,-79.5599,43.64164,-79.55956,43.64153,-79.55982,Toronto,,Ontario,Canada,CA-ON,0.2773,0.1795,78,0.0,0.5065,0.1299,0.013,0.1169,0.2337,2019-01-04,2.0
dpz822sw,43.64147,-79.43596,43.64164,-79.43562,43.64153,-79.43567,Toronto,,Ontario,Canada,CA-ON,0.5586,0.1321,159,0.0063,0.3962,0.2201,0.044,0.0943,0.2391,2019-01-04,2.0
dpz2qb9w,43.64147,-79.506,43.64164,-79.50565,43.6416,-79.50584,Toronto,,Ontario,Canada,CA-ON,0.4621,0.0563,160,0.0,0.1635,0.4277,0.0,0.1698,0.239,2019-01-04,2.0
dpz2q2sy,43.64147,-79.52351,43.64164,-79.52316,43.64152,-79.52328,Toronto,,Ontario,Canada,CA-ON,0.3368,0.0714,70,0.0,0.2714,0.1286,0.0143,0.4571,0.1286,2019-01-04,2.0
dpz2q8ww,43.64147,-79.51012,43.64164,-79.50977,43.64156,-79.5099,Toronto,,Ontario,Canada,CA-ON,0.597,0.0781,128,0.0079,0.3858,0.1969,0.0236,0.1496,0.2362,2019-01-04,2.0
dpz82b8q,43.64147,-79.41982,43.64164,-79.41948,43.64153,-79.41967,Toronto,,Ontario,Canada,CA-ON,0.9605,0.18,50,0.04,0.24,0.26,0.02,0.1,0.34,2019-01-04,2.0
dpz2r89n,43.64147,-79.47372,43.64164,-79.47338,43.64153,-79.47351,Toronto,,Ontario,Canada,CA-ON,0.4785,0.2653,98,0.1327,0.7551,0.0612,0.0,0.0102,0.0408,2019-01-04,2.0
dpz822xn,43.64147,-79.43253,43.64164,-79.43218,43.64153,-79.43231,Toronto,,Ontario,Canada,CA-ON,0.3804,0.0798,6439,0.0198,0.2092,0.1798,0.0556,0.0897,0.4459,2019-01-04,2.0
dpz828sq,43.64147,-79.42532,43.64164,-79.42497,43.64155,-79.42513,Toronto,,Ontario,Canada,CA-ON,0.6806,0.2215,1359,0.0193,0.2496,0.1278,0.0312,0.0379,0.5342,2019-01-04,2.0
dpz830xq,43.64147,-79.39922,43.64164,-79.39888,43.64156,-79.39893,Toronto,,Ontario,Canada,CA-ON,0.3158,0.1262,2337,0.0207,0.1972,0.1501,0.0457,0.1139,0.4724,2019-01-04,2.0
dpz2q2dq,43.64147,-79.52694,43.64164,-79.5266,43.64154,-79.52691,Toronto,,Ontario,Canada,CA-ON,0.7334,0.0267,75,0.0,0.24,0.12,0.0133,0.32,0.3067,2019-01-04,2.0
dpz87q3u,43.67271,-79.3079,43.67289,-79.30756,43.67287,-79.30758,Toronto,,Ontario,Canada,CA-ON,0.3643,0.0395,76,0.04,0.1867,0.2667,0.0267,0.2267,0.2532,2019-01-04,2.0
dpz87y7u,43.67271,-79.28318,43.67289,-79.28284,43.67277,-79.28316,Toronto,,Ontario,Canada,CA-ON,0.1599,0.0968,62,0.0656,0.3607,0.1148,0.082,0.1639,0.213,2019-01-04,2.0
dpz82n6u,43.67271,-79.44935,43.67289,-79.44901,43.67277,-79.44908,Toronto,,Ontario,Canada,CA-ON,0.3687,0.2379,1791,0.0264,0.1814,0.2746,0.0578,0.0842,0.3756,2019-01-04,2.0
dpz82q2h,43.67271,-79.44214,43.67289,-79.4418,43.67278,-79.44195,Toronto,,Ontario,Canada,CA-ON,0.3867,0.0482,6829,0.0261,0.1749,0.2635,0.0654,0.0852,0.3849,2019-01-04,2.0
dpz83qms,43.67271,-79.39064,43.67289,-79.3903,43.67282,-79.39051,Toronto,,Ontario,Canada,CA-ON,0.3773,0.1654,2110,0.0362,0.1993,0.1851,0.059,0.1113,0.4091,2019-01-04,2.0
dpz2qq6s,43.67271,-79.5266,43.67289,-79.52625,43.67285,-79.52627,Toronto,,Ontario,Canada,CA-ON,1.4754,0.0286,35,0.0,0.1714,0.0857,0.0,0.5429,0.2,2019-01-04,2.0
dpz2myrh,43.67271,-79.54239,43.67289,-79.54205,43.67281,-79.54234,Toronto,,Ontario,Canada,CA-ON,0.4241,0.0748,254,0.0593,0.253,0.1779,0.0672,0.1779,0.2647,2019-01-04,2.0
dpz86q6s,43.67271,-79.35081,43.67289,-79.35047,43.67277,-79.35073,Toronto,,Ontario,Canada,CA-ON,0.2995,0.2241,58,0.0,0.3103,0.2586,0.0,0.0345,0.3966,2019-01-04,2.0
dpz2rnqs,43.67271,-79.48814,43.67289,-79.4878,43.67275,-79.48788,Toronto,,Ontario,Canada,CA-ON,0.3494,0.1025,800,0.0556,0.1707,0.1896,0.1176,0.1049,0.3616,2019-01-04,2.0
dpz86nkk,43.67271,-79.3594,43.67289,-79.35905,43.67274,-79.35928,Toronto,,Ontario,Canada,CA-ON,0.7889,0.0761,4373,0.0698,0.2302,0.2895,0.0606,0.0889,0.261,2019-01-04,2.0
dpz2qw6u,43.67271,-79.51527,43.67289,-79.51492,43.67285,-79.51524,Toronto,,Ontario,Canada,CA-ON,0.9087,0.0833,12,0.0,0.1667,0.1667,0.0833,0.3333,0.25,2019-01-04,2.0
dpz87wrs,43.67271,-79.28902,43.67289,-79.28867,43.67278,-79.28892,Toronto,,Ontario,Canada,CA-ON,0.3855,0.0923,195,0.0205,0.4308,0.2051,0.0667,0.0564,0.2205,2019-01-04,2.0
dpz8u2rd,43.7273,-79.25606,43.72747,-79.25571,43.72743,-79.25598,Toronto,,Ontario,Canada,CA-ON,1.1316,0.2273,22,0.0,0.1818,0.3636,0.0,0.1818,0.2728,2019-01-04,2.0
dpz2z0rf,43.7273,-79.48643,43.72747,-79.48608,43.72743,-79.48612,Toronto,,Ontario,Canada,CA-ON,0.3408,0.0444,180,0.118,0.3371,0.1854,0.0393,0.073,0.2472,2019-01-04,2.0
dpz8u83d,43.7273,-79.25331,43.72747,-79.25297,43.72745,-79.25313,Toronto,,Ontario,Canada,CA-ON,0.2298,0.25,20,0.0,0.25,0.2,0.05,0.05,0.45,2019-01-04,2.0
dpz2y234,43.7273,-79.52866,43.72747,-79.52831,43.72738,-79.52858,Toronto,,Ontario,Canada,CA-ON,0.7697,0.05,1181,0.0051,0.1385,0.1071,0.0263,0.5361,0.1869,2019-01-04,2.0
dpz8b07f,43.7273,-79.44798,43.72747,-79.44763,43.7274,-79.44777,Toronto,,Ontario,Canada,CA-ON,0.5944,0.0278,13579,0.0401,0.1887,0.3021,0.0665,0.1055,0.2971,2019-01-04,2.0
dpz8b834,43.7273,-79.42978,43.72747,-79.42944,43.72734,-79.42974,Toronto,,Ontario,Canada,CA-ON,0.5714,0.0698,86,0.0465,0.3023,0.186,0.0116,0.0814,0.3722,2019-01-04,2.0
dpz2y8kf,43.7273,-79.51252,43.72747,-79.51218,43.72734,-79.51235,Toronto,,Ontario,Canada,CA-ON,0.3048,0.2821,39,0.0,0.2368,0.1316,0.0789,0.2105,0.3422,2019-01-04,2.0
dpz8fqhb,43.75854,-79.34772,43.75872,-79.34738,43.75862,-79.34752,Toronto,,Ontario,Canada,CA-ON,0.4321,0.2575,598,0.0102,0.3976,0.1689,0.0802,0.1621,0.181,2019-01-04,2.0
dpz2yw5b,43.75854,-79.51389,43.75872,-79.51355,43.75864,-79.51369,Toronto,,Ontario,Canada,CA-ON,0.3928,0.2121,995,0.0344,0.2045,0.3249,0.0567,0.0385,0.341,2019-01-04,2.0
dpz8gwn2,43.75854,-79.29073,43.75872,-79.29039,43.7586,-79.29052,Toronto,,Ontario,Canada,CA-ON,0.5908,0.1,20,0.0,0.3,0.25,0.0,0.15,0.3,2019-01-04,2.0
dpz8bq40,43.75854,-79.43939,43.75872,-79.43905,43.75863,-79.43922,Toronto,,Ontario,Canada,CA-ON,0.5983,0.0509,5560,0.0188,0.2314,0.2484,0.0447,0.0991,0.3576,2019-01-04,2.0
dpz8cwn8,43.75854,-79.37828,43.75872,-79.37794,43.75865,-79.37818,Toronto,,Ontario,Canada,CA-ON,0.2543,0.7955,621,0.0032,0.9144,0.0275,0.0032,0.0032,0.0485,2019-01-04,2.0
dpz8fn52,43.75854,-79.36077,43.75872,-79.36043,43.75867,-79.36065,Toronto,,Ontario,Canada,CA-ON,0.3278,0.1235,243,0.0206,0.321,0.1893,0.0864,0.2263,0.1564,2019-01-04,2.0
dpz8cn02,43.75854,-79.40884,43.75872,-79.40849,43.75857,-79.40864,Toronto,,Ontario,Canada,CA-ON,0.2633,0.2923,852,0.013,0.3341,0.2267,0.0437,0.1228,0.2597,2019-01-04,2.0
dpz2zq40,43.75854,-79.48334,43.75872,-79.48299,43.75862,-79.48311,Toronto,,Ontario,Canada,CA-ON,0.6147,0.4686,239,0.0,0.0879,0.046,0.1506,0.3808,0.3347,2019-01-04,2.0
dpz2znp0,43.75854,-79.48746,43.75872,-79.48711,43.75859,-79.48725,Toronto,,Ontario,Canada,CA-ON,0.8124,0.1667,948,0.0137,0.1924,0.1797,0.1469,0.1945,0.2728,2019-01-04,2.0
dpz2vwh8,43.75854,-79.55681,43.75872,-79.55647,43.75862,-79.55668,Toronto,,Ontario,Canada,CA-ON,0.9477,0.1613,93,0.0,0.3118,0.0968,0.2258,0.1828,0.1828,2019-01-04,2.0
dpz9k9bz,43.82429,-79.25434,43.82446,-79.254,43.82434,-79.25408,Toronto,,Ontario,Canada,CA-ON,0.4208,0.1127,71,0.0,0.0,0.8592,0.0,0.0845,0.0563,2019-01-04,2.0
dpz973zp,43.82429,-79.30069,43.82446,-79.30035,43.82432,-79.30058,Toronto,,Ontario,Canada,CA-ON,0.6144,0.1638,116,0.0172,0.1983,0.4138,0.0345,0.1897,0.1465,2019-01-04,2.0
dpz83vn0,43.66516,-79.36798,43.66533,-79.36764,43.66527,-79.36776,Toronto,,Ontario,Canada,CA-ON,0.2591,0.0909,22,0.0,0.3636,0.1364,0.0909,0.0,0.4091,2019-01-04,2.0
dpz2rtp8,43.66516,-79.4648,43.66533,-79.46445,43.66528,-79.46453,Toronto,,Ontario,Canada,CA-ON,0.8228,0.1198,6158,0.0359,0.1617,0.24,0.0814,0.1072,0.3738,2019-01-04,2.0
dpz86jj2,43.66516,-79.35802,43.66533,-79.35768,43.66521,-79.35773,Toronto,,Ontario,Canada,CA-ON,0.3592,0.015,2204,0.0425,0.247,0.1995,0.075,0.0558,0.3802,2019-01-04,2.0
dpz86j4b,43.66516,-79.36146,43.66533,-79.36111,43.66528,-79.36129,Toronto,,Ontario,Canada,CA-ON,0.1203,0.0612,49,0.0204,0.449,0.2449,0.0204,0.0204,0.2449,2019-01-04,2.0
dpz2rjj8,43.66516,-79.48952,43.66533,-79.48917,43.66526,-79.48943,Toronto,,Ontario,Canada,CA-ON,0.4815,0.0961,229,0.0131,0.4541,0.1092,0.0262,0.083,0.3144,2019-01-04,2.0
dpz83mp2,43.66516,-79.38824,43.66533,-79.38789,43.66526,-79.38798,Toronto,,Ontario,Canada,CA-ON,0.4873,0.0461,152,0.0331,0.3311,0.1126,0.0464,0.1325,0.3443,2019-01-04,2.0
dpz82j5b,43.66516,-79.44798,43.66533,-79.44763,43.66528,-79.44789,Toronto,,Ontario,Canada,CA-ON,0.5147,0.1059,85,0.0235,0.4235,0.1529,0.0235,0.0471,0.3295,2019-01-04,2.0
dpz86v1b,43.66516,-79.32987,43.66533,-79.32953,43.66518,-79.32969,Toronto,,Ontario,Canada,CA-ON,1.1184,0.0151,397,0.0025,0.4594,0.1396,0.0381,0.0736,0.2868,2019-01-04,2.0
dpz83mj2,43.66516,-79.39098,43.66533,-79.39064,43.66518,-79.39078,Toronto,,Ontario,Canada,CA-ON,0.1877,0.1026,39,0.0,0.2632,0.1316,0.0526,0.0,0.5526,2019-01-04,2.0
dpz8e4xq,43.6964,-79.31133,43.69658,-79.31099,43.69644,-79.31125,Toronto,,Ontario,Canada,CA-ON,1.2769,0.0714,98,0.0102,0.6429,0.1122,0.0408,0.0408,0.1531,2019-01-04,2.0
dpz2tf9w,43.6964,-79.54994,43.69658,-79.5496,43.69649,-79.54974,Toronto,,Ontario,Canada,CA-ON,0.4359,0.0068,7747,0.0142,0.1576,0.2049,0.036,0.1052,0.4821,2019-01-04,2.0
dpz8ed9w,43.6964,-79.29726,43.69658,-79.29691,43.69648,-79.29709,Toronto,,Ontario,Canada,CA-ON,0.3265,0.0952,1670,0.0224,0.2211,0.2326,0.0834,0.0562,0.3843,2019-01-04,2.0
dpz8dfdw,43.6964,-79.32884,43.69658,-79.3285,43.69643,-79.32882,Toronto,,Ontario,Canada,CA-ON,0.266,0.0595,185,0.0326,0.2391,0.2337,0.038,0.125,0.3316,2019-01-04,2.0
dpz2xf9n,43.6964,-79.46274,43.69658,-79.46239,43.69645,-79.46261,Toronto,,Ontario,Canada,CA-ON,0.3676,0.1938,356,0.0141,0.1211,0.3915,0.0451,0.1099,0.3183,2019-01-04,2.0
dpz2sfxy,43.6964,-79.5853,43.69658,-79.58496,43.69655,-79.58523,Toronto,,Ontario,Canada,CA-ON,0.3682,0.0986,720,0.0,0.0278,0.0083,0.0028,0.7038,0.2573,2019-01-04,2.0
dpz2td9y,43.6964,-79.56059,43.69658,-79.56024,43.69651,-79.56055,Toronto,,Ontario,Canada,CA-ON,0.2773,0.2274,321,0.0094,0.2594,0.2,0.075,0.1781,0.2781,2019-01-04,2.0
dpz2tddq,43.6964,-79.5599,43.69658,-79.55956,43.69651,-79.55963,Toronto,,Ontario,Canada,CA-ON,0.2405,0.012,9223,0.0144,0.1997,0.3326,0.0596,0.1153,0.2784,2019-01-04,2.0
dpz2sd8n,43.6964,-79.60693,43.69658,-79.60659,43.69653,-79.60665,Toronto,,Ontario,Canada,CA-ON,0.7955,0.0049,39646,0.0177,0.1064,0.2488,0.0529,0.3658,0.2084,2019-01-04,2.0
dpz88fxq,43.6964,-79.41021,43.69658,-79.40987,43.69644,-79.41015,Toronto,,Ontario,Canada,CA-ON,0.6704,0.0658,152,0.0197,0.1974,0.3092,0.0855,0.1053,0.2829,2019-01-04,2.0
dpz8e68n,43.6964,-79.3103,43.69658,-79.30996,43.69648,-79.31019,Toronto,,Ontario,Canada,CA-ON,0.3288,0.3846,117,0.0,0.7257,0.0885,0.0177,0.0354,0.1327,2019-01-04,2.0
dpz8e48y,43.6964,-79.32026,43.69658,-79.31992,43.69648,-79.32014,Toronto,,Ontario,Canada,CA-ON,1.4328,0.2663,169,0.0592,0.3018,0.2485,0.0355,0.0651,0.2899,2019-01-04,2.0
dpz8ddsy,43.6964,-79.33674,43.69658,-79.3364,43.69648,-79.33663,Toronto,,Ontario,Canada,CA-ON,0.3156,0.2301,239,0.0675,0.2911,0.2278,0.038,0.1055,0.2701,2019-01-04,2.0
dpz8gqem,43.76215,-79.30584,43.76232,-79.3055,43.76228,-79.30551,Toronto,,Ontario,Canada,CA-ON,0.4059,0.1071,56,0.0,0.4643,0.375,0.0179,0.0536,0.0892,2019-01-04,2.0
dpz8by8t,43.76215,-79.41948,43.76232,-79.41914,43.76227,-79.41934,Toronto,,Ontario,Canada,CA-ON,0.556,0.1196,92,0.0111,0.2667,0.2333,0.0111,0.1556,0.3222,2019-01-04,2.0
dpz8ynsj,43.76215,-79.18396,43.76232,-79.18362,43.76224,-79.1837,Toronto,,Ontario,Canada,CA-ON,0.5297,0.1112,2293,0.0145,0.1914,0.4306,0.0622,0.1608,0.1405,2019-01-04,2.0
dpz2zwsm,43.76215,-79.46926,43.76232,-79.46892,43.76222,-79.46914,Toronto,,Ontario,Canada,CA-ON,0.4048,0.25,40,0.0,0.55,0.125,0.125,0.15,0.05,2019-01-04,2.0
dpz8vwdm,43.76215,-79.20834,43.76232,-79.20799,43.76219,-79.20831,Toronto,,Ontario,Canada,CA-ON,0.2584,0.1484,155,0.0,0.2532,0.3896,0.0714,0.0844,0.2014,2019-01-04,2.0
dpz8fnwv,43.76215,-79.35596,43.76232,-79.35562,43.76218,-79.35588,Toronto,,Ontario,Canada,CA-ON,0.5272,0.1026,380,0.0,0.2789,0.5526,0.0158,0.0842,0.0685,2019-01-04,2.0
dpz2zqsm,43.76215,-79.48025,43.76232,-79.4799,43.76216,-79.4801,Toronto,,Ontario,Canada,CA-ON,0.2516,0.0667,15,0.0,0.0,0.0,0.0,0.8667,0.1333,2019-01-04,2.0
dpz2vyxm,43.76215,-79.54205,43.76232,-79.5417,43.7623,-79.54195,Toronto,,Ontario,Canada,CA-ON,0.281,0.0406,566,0.0035,0.1809,0.3298,0.1064,0.1418,0.2376,2019-01-04,2.0
dpz2zwsv,43.76215,-79.46857,43.76232,-79.46823,43.76217,-79.46831,Toronto,,Ontario,Canada,CA-ON,0.795,0.451,51,0.0,0.7843,0.098,0.0392,0.0,0.0785,2019-01-04,2.0
dpz8unsv,43.76215,-79.27082,43.76232,-79.27048,43.7622,-79.27068,Toronto,,Ontario,Canada,CA-ON,0.4742,0.2553,47,0.0,0.1915,0.0426,0.1489,0.4043,0.2127,2019-01-04,2.0
dpz2zwwt,43.76215,-79.46617,43.76232,-79.46583,43.76224,-79.466,Toronto,,Ontario,Canada,CA-ON,0.2718,0.5,30,0.0,0.0,0.8667,0.0333,0.1,0.0,2019-01-04,2.0
dpz8cqem,43.76215,-79.39373,43.76232,-79.39339,43.76218,-79.39345,Toronto,,Ontario,Canada,CA-ON,0.3446,0.0196,1121,0.0384,0.202,0.3307,0.0724,0.1278,0.2287,2019-01-04,2.0
dpz8fq9m,43.76215,-79.35253,43.76232,-79.35219,43.76226,-79.35222,Toronto,,Ontario,Canada,CA-ON,0.5772,0.066,106,0.0,0.4623,0.0849,0.0472,0.283,0.1226,2019-01-04,2.0
dpz2vywt,43.76215,-79.54308,43.76232,-79.54273,43.76216,-79.54286,Toronto,,Ontario,Canada,CA-ON,0.2299,0.0652,46,0.0,0.1304,0.413,0.1522,0.0652,0.2392,2019-01-04,2.0
dpz8uyxt,43.76215,-79.23409,43.76232,-79.23374,43.76223,-79.2339,Toronto,,Ontario,Canada,CA-ON,0.3229,0.252,127,0.0079,0.3651,0.3889,0.0317,0.0476,0.1588,2019-01-04,2.0
dpz2p1dy,43.60302,-79.49329,43.60319,-79.49295,43.6031,-79.49304,Toronto,,Ontario,Canada,CA-ON,0.5189,0.2222,135,0.0522,0.1567,0.5224,0.0149,0.1567,0.0971,2019-01-04,2.0
dpz2n9sn,43.60302,-79.51355,43.60319,-79.51321,43.60315,-79.51324,Toronto,,Ontario,Canada,CA-ON,0.3958,0.1972,71,0.0,0.0,0.0,0.0141,0.662,0.3239,2019-01-04,2.0
dpz8ee7e,43.70001,-79.29451,43.70018,-79.29417,43.70016,-79.29443,Toronto,,Ontario,Canada,CA-ON,0.435,0.1373,51,0.0,0.3725,0.5294,0.0392,0.0196,0.0393,2019-01-04,2.0
dpz2te6g,43.70001,-79.55921,43.70018,-79.55887,43.70005,-79.55895,Toronto,,Ontario,Canada,CA-ON,0.4257,0.1224,49,0.0,0.3061,0.0612,0.0,0.4082,0.2245,2019-01-04,2.0
dpz8e537,43.70001,-79.31957,43.70018,-79.31923,43.70005,-79.31934,Toronto,,Ontario,Canada,CA-ON,0.4076,0.1368,7140,0.0318,0.1923,0.2273,0.0971,0.1513,0.3002,2019-01-04,2.0
dpz8e56g,43.70001,-79.31751,43.70018,-79.31717,43.70007,-79.3175,Toronto,,Ontario,Canada,CA-ON,0.3138,0.0526,19,0.0,0.2105,0.4211,0.0526,0.1579,0.1579,2019-01-04,2.0
dpz2wgme,43.70001,-79.5005,43.70018,-79.50016,43.7001,-79.50035,Toronto,,Ontario,Canada,CA-ON,0.3487,0.3088,638,0.0222,0.2155,0.2758,0.0365,0.0539,0.3961,2019-01-04,2.0
dpz8ee3e,43.70001,-79.29726,43.70018,-79.29691,43.70008,-79.29701,Toronto,,Ontario,Canada,CA-ON,0.4588,0.0343,3005,0.0312,0.2189,0.2803,0.0796,0.0638,0.3262,2019-01-04,2.0
dpz2sgrg,43.70001,-79.5853,43.70018,-79.58496,43.70009,-79.58525,Toronto,,Ontario,Canada,CA-ON,0.2761,0.25,20,0.0,0.1,0.6,0.15,0.05,0.1,2019-01-04,2.0
dpz8e7q5,43.70001,-79.30206,43.70018,-79.30172,43.70015,-79.30192,Toronto,,Ontario,Canada,CA-ON,0.4166,0.0423,260,0.0194,0.3023,0.4186,0.0271,0.0349,0.1977,2019-01-04,2.0
